#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#URBAN MILITIA BUILDING
ct_guild_militia_xbow_1;Urban Crossbow Guild;;;;;;;;;x
ct_guild_militia_xbow_2;Urban Crossbow Guild;;;;;;;;;x
ct_guild_militia_xbow_3;Urban Crossbow Guild;;;;;;;;;x
ct_guild_militia_xbow_4;Urban Crossbow Guild;;;;;;;;;x
ct_guild_militia_xbow_5;Urban Crossbow Guild;;;;;;;;;x
ct_guild_militia_xbow_desc;Urban militiamen train here in the use of the crossbow, encouraged by regular shooting competitions and organization under officers and banners.\n;;;;;;;;;x

ct_guild_militia_pike_1;Urban Armored Militia;;;;;;;;;x
ct_guild_militia_pike_2;Urban Armored Militia;;;;;;;;;x
ct_guild_militia_pike_3;Urban Armored Militia;;;;;;;;;x
ct_guild_militia_pike_4;Urban Armored Militia;;;;;;;;;x
ct_guild_militia_pike_5;Urban Armored Militia;;;;;;;;;x
ct_guild_militia_pike_desc;Urban militiamen train here in the use of polearms, hardened by regular drilling and organization under officers and banners.\n;;;;;;;;;x
