#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#BASE PROVINCIAL POP MODIFIERS
arles_pop1;Minor Province;;;;;;;;;;;;;x
arles_pop1_desc;This province is home to only a few hundred people who live close to a central settlement which acts as a small hub of commercial activity.\nCurrent Population Level: [province_pop.GetValue]/5;;;;;;;;;;;;;x
arles_pop2;Minor Population Center;;;;;;;;;;;;;x
arles_pop2_desc;This province is home to thousands of people scattered across numerous villages centered around a small but growing town.\nCurrent Population Level: [province_pop.GetValue]/20;;;;;;;;;;;;;x
arles_pop3;Burgeoning Population Center;;;;;;;;;;;;;x
arles_pop3_desc;This province is home to tens of thousands of people, a large portion of which live in and fuel the development of the numerous towns in this region.\nCurrent Population Level: [province_pop.GetValue]/35;;;;;;;;;;;;;x
arles_pop4;Major Population Center;;;;;;;;;;;;;x
arles_pop4_desc;This province is home to almost a hundred thousand people and serves well as a regional administrative and commercial center.\nCurrent Population Level: [province_pop.GetValue]/50;;;;;;;;;;;;;x
arles_pop5;Metropolitan Center;;;;;;;;;;;;;x
arles_pop5_desc;A shining city dominates the landscape here and watches like a golden sentinel over many hundreds of thousands of people, rivalling even the glory and stature of ancient Rome.;;;;;;;;;;;;;x
arles_popgrowth;Population Growth;;;;;;;;;;;;;x
arles_popgrowth_desc;Population has grown in this province.;;;;;;;;;;;;;x

#BASE HOLDING POP MODIFIERS (DEBUG ONLY)
arles_holding_pop1;Minor Settlement;;;;;;;;;;;;;x
arles_holding_pop1_desc;This settlement is home to only a hundred people at most and acts as a small hub of commercial activity.;;;;;;;;;;;;;x
arles_holding_pop2;Minor Town;;;;;;;;;;;;;x
arles_holding_pop2_desc;This small but growing town is home to a few hundred people, and traders sometimes pass through here on their way to more promising markets.;;;;;;;;;;;;;x
arles_holding_pop3;Burgeoning Town;;;;;;;;;;;;;x
arles_holding_pop3_desc;This town is home to a few thousand people who keep the markets busy with activity.;;;;;;;;;;;;;x
arles_holding_pop4;Major City;;;;;;;;;;;;;x
arles_holding_pop4_desc;This city is home to tens of thousands of people, and the markets here are brimming with both local and exotic goods.;;;;;;;;;;;;;x
