#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#BASE ECONOMY BUILDING
ca_land_clearance;Land Clearance;;;;;;;;;x
tp_land_clearance;Land Clearance;;;;;;;;;x
ct_land_clearance;Land Clearance;;;;;;;;;x
land_clearance_desc;Before any more economic improvements can be built in this province, the land must first be cleared and the appropriate documents drawn up to affirm the §Ylocal lord's§! right of ownership of the properties thereupon.\n\nInitiating §GLand Clearance§! will activate an event soon after its completion, allowing the ruler to select an appropriate economic focus based on the §YBase Resources§! and current §YTrade Goods§! available. For a list of valid improvements that can be built, right-click on the province's coat of arms (far left in the province view).;;;;;;;;;x
land_clearance_1_tooltip;The province is a §YMinor Province§! and has §Yno§! economic improvements built\n;;;;;;;;;x
land_clearance_2_tooltip;The province is a §YMinor Population Center§! and has §Yone or fewer§! economic improvement built\n;;;;;;;;;x
land_clearance_3_tooltip;The province is a §YBurgeoning Population Center§! and has §Yfour or fewer§! economic improvements built\n;;;;;;;;;x
land_clearance_4_tooltip;The province is a §YMajor Population Center§! and has §Ysix or fewer§! economic improvements built\n;;;;;;;;;x
land_clearance_5_tooltip;The province is a §YMetropolitan Center and§! has §Yseven or fewer§! economic improvements built\n;;;;;;;;;x

arles_trade_land_clearance_tooltip;Land clearance has been initiated in the provincial capital\n;;;;;;;;;x
arles_trade_econ_count_tooltip;[This.province_econ_count_diff.GetValue] potential economic improvements remaining in this province\n;;;;;;;;;x

#TRADE NODES/ROUTES
arles_trade_node;Regional Trading Center;;;;;;;;;;;;;x
arles_trade_node_desc;This province's markets have long been a gathering place for merchants far and wide, come to exchange their exotic wares for the many local goods produced in this region.\n\nRegional Trading Centers act as trade nodes, §Yincreasing income§! as well as §Yincreasing potential economic improvements§! that can be built in the province. They also allow all provinces within their §Yregional trade zone§! to share goods that they have access to. They require a provincial Prosperity Level of §Y15§! to exist.;;;;;;;;;;;;;x
arles_trade_zone;Regional Trade Zone;;;;;;;;;;;;;x
arles_trade_zone_desc;This province benefits from merchants passing to and from a nearby §Yregional trading center§!, and enjoys access to the same §Ytrade goods§! sold there.;;;;;;;;;;;;;x

#TRADE RESOURCES
arles_hides;Hides;;;;;;;;;;;;;x
arles_hides_desc;§YHides§! are produced in this province from the pelts of game hunted here, which can be tanned into sturdy §Yleather§!;;;;;;;;;;;;;x
arles_build_hides;Allow Hunting;;;;;;;;;;;;;x
arles_build_hides_desc;By allowing the common people in this province to freely hunt the bountiful wildlife here, enterprising hunters are beginning to produce quality §Yhides§!.\n\n§YHides§! will be produced in this province from the pelts of game hunted here, which can be tanned into sturdy §Yleather§!;;;;;;;;;;;;;x
arles_trade.0.hides.desc;Although it is frowned upon by the nobility as being in conflict with their ancient rights to the land, the recent proclamation allowing the common people to hunt in the forests of [From.Location.GetName] has been well-received. Hunting lodges now dot the forests as enterprising peasants begin exercising their skills in archery.;;;;;;;;;;;;;x
arles_trade.0.opt.a;This can only bring benefit to us all.;;;;;;;;;;;;;x
arles_trade.0.opt.b;What is this madness? Stop them at once!;;;;;;;;;;;;;x
arles_trade.0.opt.b.tooltip;Your men round up the hunters and confiscate their goods, then sell the land back to local nobles.\n;;;;;;;;;;;;;x
arles_trade.1.hides.desc;By allowing the common people in this province to freely hunt the bountiful wildlife here in [FromFrom.Location.GetName], skilled hunters are beginning to produce quality hides and meat. Some are even suggesting that these hides could be turned into leather in the cities, and an enterprising ruler would be wise to encourage this.;;;;;;;;;;;;;x
arles_trade.1.opt.a;We are truly fortunate to have this resource at our disposal.;;;;;;;;;;;;;x
